ÐòºÅ,example_id,article,answer,question,options,modified_question,target_wrong_choice,strategy_type,strategy_risk
62,middle1522.txt,"How much should you save? You may be able to save 100% of your money. Does that mean you should? Not at all. The best way to develop good saving habits is to make saving a regular part of your life, along with spending.
Here is the rule you should remember: save before spending. Whenever some money gets into your hands, from a job or your pocket money or whatever, take your savings out immediately, before spending any of the money. The beauty of this system is that if you take away your savings, you are free to spend the rest.
Here are some more suggestions on how to successfully get into the saving habit from teens. Let's see!
Tony,13: I put my money in a bank instead of my wallet, so the money is not there. And I have to take an extra step to get it.
Bill,14: When considering a major purchase , wait a week or so, at least. This will help you make sure if you still want it, and the price might go down.
Dick, 13: Carry very little money always. You can't spend money if you don't have it. A cake would be nice, but without a dollar, you can't get it. Little things like that really add up quickly.
Steve,16: I used to be weak when it came to money. I bought something whenever I went into a store. I'm glad I'm not that person now. I taught myself discipline by keeping a $20 bill in my pocket while waking around the mall all day and not buying anything. Now I have no strong wish to buy things when I go into a store. It works for me.
These ideas should help you get started. If you have some questions about anything you've read here, or would like to share your ideas about saving money, please write to us.",D,The writer wrote the passage in order to ask teens to  _  .,"['make major purchases' 'save 100% of their money'
 'spend all their savings regularly'
 'save money regularly as well as spending']","Considering the practical saving strategies provided for teenagers in the passage, what does the writer almost primarily encourage teens to do with their money?",C,degree_modifier,high
63,middle434.txt,"Li Ruyan, 13 and his classmates in Shanghai did something special last summer. They worked in groups with traffic police at different crossroads in the city. Holding small red flags, the students helped keep order and stopped people from jaywalking .
As part of the school project. Li's school has encouraged its students to do more community work.
After the half day of exhausting work Li told himself not to jaywalk anymore.
""I think through community work we get to help others and, more importantly, we grow a sense of responsibility ,"" he said.
Community service is an important part of education for teenagers around the world. In the US and Canada, high school students need to finish 40 hours of community service before graduation. For those Americans who have finished 1,400 hours of community work, they can be awarded nearly $ 5, 000(33, 000 yuan).
Chinese students today do more community work, too. For example, starting from 2010, Sichuan high school students have been asked to do 10 days of community work. It will become part of their school grade.
Qian Lijun, 16, and her classmates in Suzhou, Jiangsu went to a local elder care home this winter. They put Spring Festival couplets   on the walls and cheered up the people living there.
Li Xiaotian, 15, of Anshan said he used to clear flyers   from telephone poles   with his classmates. They brought tools, towels and buckets and worked for three hours under the summer sun. ""It was tiring, but seeing the clean poles without ugly ads -- we really felt proud,"" he said.",B,Community service   _  .,"['has become a very important part of education only in China.'
 'is very important in school education in some foreign countries.'
 'is the only part of the school project for teenagers around the world.'
 'needs students to finish at least 1,000 hours of community work.']",Community service understandably plays what role in education that some Chinese students also do?,A,degree_modifier,high
64,middle5853.txt,"Benjamin Franklin was born in 1706 and died in 1790.The philosopher and writer was one of the most important men in the early days of the United States. He believed strongly in the importance of hard work, and he himself worked hard all his life, from the time he left school at the age of ten.
""Poor Richard,"" a character Franklin created, summarized Franklin's ideas in short sayings . Many of Poor Richard's sayings are still remembered today. One of the most famous is ""Early to bed, and early to rise, makes a man healthy, wealthy and wise,"" from the essay ""The Way of Wealth.""
In the same essay , Franklin talks about the danger of laziness and the value of ambitiousness .He asks what is accomplished by ""wishing and hoping for better times"". He says that we can make these times better if we try hard enough. People who spend all their time just hoping will die without food. They shouldn't expect everything to be easy, or as Poor Richard says, ""there are no gains without pains."" Franklin also says that we should work today, not wait until tomorrow. ""One today is worth two tomorrows,"" says Poor Richard."" Never leave that till tomorrow, which you can do today.""",C,The main idea of the text is that   _  .,"['one should have a clever mind' 'one should get up early'
 ""one should work hard all one's life""
 'one should make everything hard to do']",The main idea of the text is that a quite frequently cited detail in the passage is ____.,B,degree_modifier,high
65,middle1314.txt,"People go to work in different ways. They work from Monday to Friday.Some people go to work on foot because they live near their workplaces. Some people go to work by bike because they live far from their workplaces,or they like riding bikes. They think it's good for their health. Today more people have own cars,so they can go to work in their cars. In the south of China,many people even go to work by boat because water is around their houses. Will people go to work by plane? I think so,if necessary.",A,Some people go to work by bike because   _  .,"['they live far away from their workplaces.' 'they are busy.'
 'they are tired.' 'they like their bikes.']",Some people go to work by bike because a rather commonly mentioned daily reason is ____.,B,degree_modifier,high
66,middle4023.txt,"If someone asks you to draw a picture of a robot, what will it look like? Like a person? We always think the robot looks like a person. But real robot have many different looks. What robots look like has something to do with the jobs they do.
Robot don't get bored. They don't get tired. They don't worry about getting dirty.
Some people are worried that robots will become the _ of the earth one day. But I think it won't happen. After all, robots are controlled   by people. They work according to people's orders.
With the help of robots, we are living a safer, happier and more comfortable life.",B,"According to the passage, why won't robot become the ruler of the earth?","['Because they move quickly.' 'Because they are controlled by people.'
 'Because they help people a lot.' 'Because they need to sleep.']","According to the passage, why won't robot become the ruler of the earth though they can do many difficult jobs?",C,degree_modifier,high
67,middle3521.txt,"108 Wensan Road London, 85 A 100  England
March 1st, 2013
Dear Lin Tao,
I am writing to you in English. I hope you can understand  it.
I love studying in London and I have many new friends. Most of them are my classmates. From Monday to Friday, we have English, math, physics and P. E. in the morning. I like English and physics, because they're interesting. I don't like math. It's too boring. At noon, I have to have lunch at school because my home is far from my school. We usually have two classes in the afternoon--art and politics. We finish our classes at 3:30 p. m. After school, my friends and I always play football on the playground. And then we go home by bus.
On weekends, we have no classes. We often go to the park and sometimes we go to the movies in the evening. We see movies twice a month. I like some famous  actors like Jackie Chan.
Oh, I have no time to write more. Please write back soon.
Best wishes,
Wang Gang
,.",D,Wang Gang and his friends go to the movies   _  .,['once a week' 'once a month' 'twice a week' 'twice a month'],Wang Gang and his friends go to the movies   _   as part of their weekend activities.,C,degree_modifier,high
68,middle6854.txt,"It is very important for children to get to school safely and on time every day. Luckily, there is a new program called Free Home to School Transport . It gives children free rides to school. But to enjoy the free trip. Children have to qualify .
Children can take free home to school transport if they:
*are between 5 and 16 years old
*are going to the nearest school
*live far away from school
No matter how far away children live from school, they Can take the free transport if they have walking problems or there is no safe road for them. A safe road usually has crossings, lights and should be clean.
Also, there are still free home to school _ for children in poor families and children with special educational needs, you can find out more on the Internet and see if your children are qualified.",C,"To enjoy the program, a child should go to a school that is   _  .",['famous' 'best' 'nearest' 'free'],"Considering the eligibility criteria for the Free Home to School Transport program, what kind of school should a child almost primarily attend to enjoy the program?",B,degree_modifier,high
69,middle6472.txt,"My name is Dan and I have two brothers, Bob and Ray .We like hamburgers for lunch.
Bob and I like French fries , but Ray doesn't . I don't like eggs for breakfast, but Bob and Ray
Do. I like fruit for breakfast .We really like chicken and salad for dinner.",C,_   like hamburgers .,"['Dan and Bob' 'Bob and Ray' 'Dan , Bob and Ray' 'Dan and Ray']","Considering the lunch preferences mentioned in the passage, who almost all like hamburgers?",A,degree_modifier,high
70,middle3619.txt,"Foreign visitors are often puzzled   in Japan because most streets there don't have names. In Japan, people use _ in their directions instead of street names. For example, the Japanese will say to travelers, ""Go straight down to the corner. Turn left at the big hotel and go pass a fruit market. The post office is across from the bus stop.""
In the countryside of the American Midwest, usually there are not many landmarks. There are no mountains, so the land is very flat  . In many places there are no towns or buildings within miles. Instead of landmarks, people will tell you directions and distance. In Kansas or lowa, for example, people will say, ""Go north two miles. Turn east, and then go another mile.""
People in Los Angeles, California, have no idea of distance on the map: the measure   distance by means of time, not miles. ""How far away is the post office?"" you ask. ""Oh,"" they answer, ""it's about five minutes from here."" you say, ""Yes, but how many miles away is it?"" They don't know.
People in Greece sometimes do not even try to give directions because visitors seldom understand the Greek language. Instead of giving you the direction, a Greek will often say, ""Follow me."" Then he'll lead you through the streets of the city to the post office.
Sometimes a person doesn't know the answer to your question. What happen in this situation? A New Yorker might say, ""sorry, I have no idea."" But in Yucatan, Mexico, no one answer, ""I don't know."" They think that it is impolite. They usually give an answer, often a wrong one. A visitor can get lost in Yucatan.
One thing will help you everywhere. You might not understand a person's words, by maybe you can understand his body language. He or she will usually turn and then point in the correct direction.",C,How many ways of giving directions in the passage?,['Four' 'Five' 'Six' 'seven'],How many ways of giving directions in the passage are mentioned when people show you the way?,D,degree_modifier,high
71,middle1597.txt,"""I believe you're the right person to write an advice column   for the students called Dear Amy!"" Jenny, editor of the school newspaper, said to Andy, who finally agreed to accept the job if Jenny promised not to tell it to anyone else.
At first it wasn't too bad. Most of the letters he received were interesting and quite easy to answer. Then came a letter from a person named Joe.
""Dear Amy,"" it began, ""I'm in real trouble. I've wanted to be a songwriter all my life, but my parents don't even let me take music lessons. I have a guitar, but they both get angry if I play. I've tried explaining, but they didn't listen. I feel sad. Should I run away from home? Maybe that will make my parents agree."" The letter signed ""Joe"".
Andy thought about this letter for a long time. Should he advise someone to run away from home? Probably not. But didn't Joe have a right to be a songwriter if he wanted to? Andy thought hard, but couldn't think out a good answer. Andy couldn't sleep. He just worried about poor Joe.
At a bar a few days later, Eleanor, a girl in Andy's maths class, sat down next to him and asked, "" What's wrong with you? You look a little worried.""
""I guess I do,"" said Andy.
""If you get a problem, why don't you try writing to Dear Amy about it?"" asked Eleanor.
Andy sighed. But Eleanor continued, ""In fact, I guess Dear Amy is rather busy with other problems. She still hasn't answered the _ letter I wrote her last week. You'd better read it -- it may even make the most hard-hearted person cry! It was supposed to be from a songwriter named Joe.""",C,In the letter Joe says that   _  .,"[""his parents don't know about music""
 ""his classmates don't understand him""
 'he would stay away from his parents' 'he would obey his parents']","Based on the dilemma and thoughts Joe describes in his letter to Dear Amy, what does he nearly say he plans to do regarding his situation with his parents?",B,degree_modifier,high
72,middle348.txt,"20Today it is found that school students hardly pay much attention to sports. Is it because they aren't interested in sports? No. They often say they have other more important things to do.
What are these important things? Examinations! Students have to spend much time on all kinds of examinations at school. So many of them almost become bookworms  . Books stop them from doing sports. Because of the pressure from their parents and teachers, the students have to work harder and spend most of their time on books. As for (......) the students, they want to get good results so that they can improve their studies. So it is necessary for them to give all of their free time to their studies and stop their school sports.
In fact, education can't go without physical   exercises, because a quick mind hardly goes along with a weak body. If you don't have a strong body, you can never get anything, let alone   a great success in your life.",C,"If you don't have a  _  , you can never get anything.",['good face' 'weak body' 'strong body' 'good father'],"If you don't have a  _  , you can never get anything, not even success in your studies.",B,degree_modifier,high
73,middle206.txt,"Why do we come to school? Most of us may say we come to school to study. But to study needs a right way, or you either waste the time or the money. The following are the ways for studying.
The best time for reading is morning. In the morning the air is fresh and the mind is clear. For that reason we can get good results.
In studying we must have patience . If we have not known a text well, we must read it again. We should not read the next one until we have learned the first one well.
When we are studying, we must put our hearts into the books, or we can get nothing from the books while we are reading.
We must always ask ""whys"". If it is not well understood, write it down and ask our teachers or our parents, brothers or friends. In any possible way, we must know it completely and what we have learned can be used well and made better.
Though there are many ways for studying, yet what I have said above will be enough if we can keep them in heart and do so.",B,How many ways for studying does the passage tell us?,['Three' 'Four' 'Five' 'Six'],How many ways for studying does the passage tell us if you count every paragraph that gives advice?,A,degree_modifier,high
74,middle5901.txt,"Many families do not eat very healthy food now . If   you do not eat good food ., then you are not healthy . Doctor Smith from the hospital says that people need   to eat a lot of healthy food in this order   :
Rice and noodles .
Fruit , such as oranges and apples , and vegetables , such as carrots , tomatoes and potatoes .
Meat , such as pork , chicken , beef and fish .
Doctor Smith says that people should not   eat unhealthy food like hamburgers , candy chocolate or ice cream , or have some drink such as cola . And they should drink milk , juice or water .
So , to stay healthy and away from hospital , eat only healthy food !",A,"To stay healthy , people should eat   _  .","['rice , fruit , meat and fish' 'hamburgers and candy'
 'noodles and ice cream' 'Carrots and chocolate']",To stay healthy understandably which is easy to get people should eat _ .,B,degree_modifier,high
75,middle1371.txt,"""Depend on yourself"" is what nature says to every man. Parents can help you. Teachers can help you. Others still can help you. But all these people only help you to help yourself.
There have been many great men in history. Many of them were very poor when they were young, and had no uncles, aunts, or friends to help them. Schools were few and not very good. They could not depend on them for education. They tried their best to learn something and never gave up till they became well-known. One of the most famous teachers in England used to tell his pupils, ""I cannot make worthy men of you, but I can help you make men of yourselves.""
Some young men don't try their best to make themselves valuable to the human beings. If they see their weak points and change their ways, they can be successful. They are nothing now, and will be nothing as long as  they live, unless they accept the advice of their parents and teachers, and depend on themselves.",B,"If young people depend on their own efforts,   _  .","['they are sure to be very famous in the world'
 'they can be successful in their lives' 'they no longer need help'
 'they are sure to fail']","Based on the message about self-reliance and effort in the passage, what will almost certainly happen if young people depend on their own efforts?",A,degree_modifier,high
76,middle6194.txt,"Han Bin, a 15-year-old Chinese boy, likes eating snacks very much.He prefers cream   biscuits, McDonald's food and Beijing roast duck.Sometimes he eats two packages of biscuits a day.As a result, he becomes fatter and fatter.
Today in China, there are many children like Han Bin.They like snacks.They don't eat enough healthy food like vegetables and fruit.It's bad for their health.Bad eating habit is a serious   problem.
Health experts   say that children should have healthy eating habits.First, they must eat regular meals and have a good breakfast.Then, they should have different kinds of foods, such as fruit, vegetables, eggs, milk, meat and so on.Third, children shouldn't eat too many snacks and too much fried food. They are delicious, but eating too much of them is unhealthy.
If children do as the experts say, they won't become fat.They will be healthier.And they will have enough energy to study well.",A,Han Bin becomes fatter and fatter because   _  .,"['he eats too much snacks' 'he is a Chinese student'
 'he has a balanced diet' 'he is an American boy']",Han Bin becomes fatter and fatter because understandably who eats McDonald's food _ .,D,degree_modifier,high
77,middle6453.txt,"This is a special class. The students come from different countries. Some come from America. Others come from Canada, Japan, Australia and England. They speak different languages,but all of them can speak English. They are good friends. They study together, play together and live together. They help each other. All the teachers of this class are Chinese, but they can speak English. They are very kind and friendly. They work hard. The students in this class study Chinese cooking and Chinese gongfu.
All the students like China. They say China is a great country and the Chinese people are very friendly. And they are happy in China.
,.",D,What do the students like about China?,"['Chinese gongfu' 'Chinese people' 'Chinese cooking' 'A, B and C']",What do the students like about China most in this special class?,B,degree_modifier,high
78,middle5436.txt,"Kinsale may be one of the smallest towns in Southern Ireland, and it's also one of the most famous towns. It is well known for its wonderful fish restaurants. Some of the best known chiefs in the world have practiced in the restaurants there. The town itself is very beautiful in Southern Ireland by the sea. Here it is cooler in summer than other island towns. A big building overlooks the town and it is one of the most beautiful in the whole country. To the north of the town there is a high mountain standing in the country. The town is very beautiful, with its many craft shops and narrow cobbled streets. Most travelers visit Kinsale for its fish restaurants, which are family owned. This means that the service is better than that in other restaurants. People are more welcoming there than those anywhere else. The food may be expensive but you'll have one of the most pleasant evenings in your life there. So go ahead and visit Kinsale.",A,Why is the weather of Kinsale nice? Because   _   .,"[""it's cool"" ""it's near the sea"" ""it's beautiful"" 'it has a big building']",Why is the weather of Kinsale nice? Because understandably which is a famous town _ .,C,degree_modifier,high
79,middle3096.txt,"For many years, a small percentage of homeowners have fixed solar panels   on their rooftops. Those panels collect some of the sun's energy and either change it into electricity or use it to heat water. Until recently, the panels were too expensive for average homeowners, and their designs were not attractive. Thanks to new advances, however, solar panels for homes are becoming cheaper and less large and heavy. Now more homeowners are considering using them.
Stores begin to sell Solar panels
Last fall furniture retailer  IKEA began selling solar panels in its U.K. stores. IKEA has brought the DIY solar choice to the public. While shopping for furniture, shoppers could not add a box or two of solar panels to their shopping cart  . IKEA is partnering with a company. The company deals with fixing and servcing of the solar panels on the roofs. So it is easy for customers to change from old energy system to solar system. If all goes well, IKEA plans to begin selling the panels in other countries soon.
Stylish solar panels
SolTech, a Swedish company, offers a really great solar-power solution. Instead of flat panels, SolTech covers the panels with a special glass tile.  And the shape of the glass tile fits traditional tiled roof designs. SolTech recently offers solar systems that heat the home's air or water. And it also offers one solar system that produces electricity.
 _ 
New technology has turned windows into solar panels. SolarWindow technology enables see-through windows to produce electricity after the glass surface is added with a special coating. Amazingly, SolarWindow can produce electricity in low-light conditons and can even turn indoor, man-made light into electricity! Since buildings are getting taller and about 60 percent of an office building's surface is covered with windows, solar window could become a very popular way for people to produce energy and save money.
Turning your home -business-into a solar-powered one is a choice that's becoming a lot more attractive these days!",D,The reason why only a few homeowners used solar panels is that they are   _  .,"['cheap but heavy' 'attractive but expensive' 'light and small'
 'dear and not attractive']",The reason why only a few homeowners used solar panels is that they are understandably which were early models _ .,A,degree_modifier,high
80,middle6535.txt,"Tommy hated school and was always looking for excuses  not to go.If he sneezed, he asked his mother to write a note saying he had a cold.If he had a headache, he asked his mother to take him to the doctor during school hours.
He spent more time at home than he did at school.On the days that he did go to school, he looked for excuses to come home early.One morning he came home when the lessons were only half finished.His father was surprised.
""You've come home early,"" he said. ""Is the school closed today?""
""No, Dad, "" Tommy said - ""It's open. I came home early.
""How did you do that?"" his father asked him. ""What did you say to the teacher?""
""I told her that I had a new baby brother and that I had to come home and help you . ""
""But your mother has had twins,"" his father said, ""a boy and a girl. You've got a baby brother and a baby sister.""
""Yes, I know, Dad, "" Tommy said. ""I'm saving up my baby sister for next week """,C,There are  _  people in Tommy's family.,['3' '4' '5' '6'],There are  _  people in Tommy's family including the twins.,D,degree_modifier,high
81,middle1711.txt,"Are you carrying too much on your back at school? You're not alone. Back experts  in the USA are worried about that young students are having back and neck problems because they are carrying too much in their backpacks .
""It hurts my back when I run,"" said Ebelin Reyes, a student in Virginia. ""It's hard to get up the stairs with my backpack because it's too heavy."" Students have to carry heavy backpacks on their backs for a whole week's study. Ebelin is one of them. They have   regular backpacks with two straps  to carry them, but a number of students with heavy loads  have _ rolling backpacks. The backpacks have wheels and can roll on the ground. Shirley Park's backpack weighs 10 kilos, and she said, ""I'll change to a rolling backpack because I am starting to have back pain.""
How much is too much? Experts say that students should carry no more than 10% to 15% of their own body weight. A few students have had a good idea to lighten  the load: less homework.
Doctor's suggestions:
Lighten the load. Take home only the books the students need that day.
(2) Wide straps are better. They can send out weight over your shoulders  and be sure to wear backpacks with two straps.
(3) The heaviest things should be packed closest to the back.
(4) Bend  both knees when you pick up the pack, don't just bend over the waist .",C,"According to the experts, it's better for a student of 40 kilos to carry a backpack of   _   at most.",['10 kilos' '8 kilos' '6 kilos' '7 kilos'],"According to the experts, it's better for a student of 40 kilos to carry a backpack of   _   at most in daily life.",A,degree_modifier,high
82,middle7896.txt,"Zhao Tao, a student from No.2 Middle School, has just come back from Shanghai. This morning, he told us something about his pleasant trip .When he talked about the Shanghai World Expo, he was so excited and so proud that he kept telling about it for several hours. The Shanghai World Expo held by China has been on for more than one month .It started on May 1st, and will end on October 31st, 2010. Its main idea is ""Better City, Better Life."" About 242 countries and organizations are attending this expo. Many new products can be seen here, such as we can see the snow in the South Korea Corporate Pavilion  every day during this hot summer though it seldom snows in Shanghai. And we can see, hear, touch and smell the 4-D films at the Oil Pavilion. How wonderful all these new products are!
China Pavilion is in the center of the expo garden. It is very beautiful. It represents the development of China from ancient time to now. It's a pride of our China!
Thousands of people from all over the world are coming to the expo every day. And many volunteers are working for them. All the tourists are very pleased and they say that the Shanghai World Expo is the greatest one in the world so far.
However, Zhao said, ""The expo garden is now so crowded. If you want to visit it, you'd better go there during the summer vacation.""",D,"So far, how long has the Shanghai World Expo been on ?",['For 20 days.' 'For a month.' 'For four weeks.' 'For about 50 days.'],So far how long has the Expo been on understandably which started in early May _ .,B,degree_modifier,high
